iter	Passed	Remaining
0	24	12060
1	44	11061
2	56	9402
3	75	9374
4	93	9278
5	100	8271
6	111	7837
7	126	7772
8	143	7818
9	153	7531
10	161	7165
11	167	6827
12	178	6670
13	188	6556
14	200	6474
15	211	6411
16	218	6206
17	225	6035
18	234	5947
19	247	5928
20	258	5890
21	264	5745
22	276	5727
23	280	5565
24	290	5523
25	302	5506
26	314	5502
27	340	5743
28	361	5875
29	385	6042
30	396	5996
31	408	5979
32	419	5939
33	429	5888
34	441	5868
35	451	5817
36	462	5785
37	480	5840
38	488	5776
39	496	5714
40	508	5687
41	518	5649
42	528	5616
43	540	5598
44	549	5557
45	561	5537
46	571	5509
47	581	5476
48	591	5446
49	597	5375
50	607	5351
51	617	5322
52	628	5301
53	640	5292
54	649	5256
55	659	5232
56	666	5176
57	675	5148
58	686	5133
59	696	5106
60	707	5090
61	724	5120
62	740	5139
63	752	5128
64	761	5098
65	773	5089
66	784	5070
67	793	5040
68	804	5025
69	815	5011
70	826	4991
71	835	4969
72	845	4944
73	856	4929
74	864	4897
75	874	4880
76	885	4866
77	889	4813
78	901	4805
79	911	4786
80	922	4770
81	934	4762
82	943	4742
83	955	4730
84	965	4714
85	974	4689
86	981	4658
87	990	4638
88	999	4616
89	1008	4592
90	1018	4576
91	1023	4541
92	1031	4512
93	1040	4492
94	1050	4480
95	1060	4464
96	1072	4454
97	1083	4445
98	1093	4427
99	1103	4412
100	1114	4401
101	1122	4380
102	1133	4369
103	1143	4353
104	1154	4341
105	1166	4336
106	1175	4318
107	1186	4307
108	1195	4287
109	1204	4268
110	1215	4261
111	1225	4244
112	1232	4221
113	1242	4205
114	1252	4193
115	1259	4168
116	1269	4155
117	1275	4128
118	1285	4116
119	1292	4092
120	1304	4085
121	1315	4075
122	1327	4068
123	1343	4072
124	1352	4058
125	1364	4048
126	1373	4034
127	1386	4028
128	1399	4026
129	1409	4010
130	1419	3999
131	1434	3999
132	1449	4000
133	1461	3993
134	1470	3976
135	1474	3945
136	1487	3940
137	1496	3925
138	1502	3901
139	1516	3898
140	1524	3882
141	1536	3872
142	1548	3865
143	1557	3851
144	1569	3841
145	1580	3831
146	1585	3806
147	1596	3797
148	1602	3775
149	1613	3765
150	1625	3756
151	1639	3752
152	1650	3742
153	1658	3725
154	1668	3713
