iter	Precision	Logloss
0	0.6694915254	0.6382267504
1	0.7224719101	0.5918496786
2	0.7373271889	0.5500230132
3	0.7390300231	0.5125350458
4	0.7277777778	0.4803252889
5	0.7227513228	0.4541191655
6	0.7252155172	0.4300050253
7	0.7250268528	0.4087566428
8	0.7225806452	0.3882003282
9	0.7372421281	0.3656632212
10	0.7354211663	0.3555307229
11	0.7326203209	0.3419635572
12	0.7341907824	0.3292264128
13	0.7408993576	0.3151637217
14	0.7486398259	0.3072803587
15	0.7596048299	0.2976856173
16	0.7627118644	0.2940986137
17	0.7620650954	0.2895950368
18	0.7654462243	0.2859471852
19	0.7659817352	0.2811455275
20	0.7647727273	0.2764440922
21	0.7630385488	0.2741452457
22	0.7677946324	0.2705529122
23	0.7678780774	0.269140765
24	0.7679814385	0.2648795622
25	0.7706635623	0.2613172514
26	0.7722543353	0.2577603521
27	0.7739726027	0.2534670033
28	0.7771428571	0.2503402749
29	0.7758816837	0.2486166725
30	0.779294653	0.2467145364
31	0.7806818182	0.2446053235
32	0.7814269536	0.2424704213
33	0.783446712	0.240645316
34	0.7801578354	0.2392921098
35	0.7777777778	0.2382172466
36	0.7751677852	0.2368906171
37	0.7855530474	0.2355845971
38	0.7842696629	0.2350754071
39	0.7818791946	0.2338263431
40	0.7815964523	0.2318737172
41	0.7816979052	0.2307559331
42	0.787541713	0.2302577077
43	0.7904124861	0.2295636003
44	0.7899441341	0.2290096148
45	0.7893569845	0.2274899286
46	0.7920792079	0.226458339
47	0.7958057395	0.2260691143
48	0.7940854326	0.2251678198
49	0.7945054945	0.2251502785
50	0.7958287596	0.2240558574
51	0.7982551799	0.2232359449
52	0.7984749455	0.2228624725
53	0.7984749455	0.2223928695
54	0.8010928962	0.2218599497
55	0.8	0.221105557
56	0.8008705114	0.2210995679
57	0.8008658009	0.2203380319
58	0.8010869565	0.2201962984
59	0.8036876356	0.2193115607
60	0.8065217391	0.2185831278
61	0.8111353712	0.217961926
62	0.8118161926	0.2176758687
63	0.8140043764	0.2175204731
64	0.8118161926	0.216983679
65	0.8111353712	0.2165034993
66	0.8133918771	0.2162090317
67	0.8107221007	0.2158789798
68	0.811546841	0.2152653392
69	0.8104575163	0.2150049097
70	0.8138006572	0.2144980215
71	0.8140043764	0.2140825106
72	0.8161925602	0.2135825769
73	0.8176855895	0.213065074
74	0.818380744	0.2127173922
75	0.8161044614	0.2124003773
76	0.8177874187	0.2120417154
77	0.8177874187	0.212039167
78	0.8195652174	0.2114943196
79	0.8218579235	0.2112910556
80	0.8213507625	0.2110750581
81	0.8204570185	0.2109819962
82	0.8239130435	0.2105570439
83	0.8241042345	0.2102990084
84	0.8226332971	0.2096637124
85	0.8232104121	0.2096318386
86	0.8232104121	0.2096212238
87	0.8241042345	0.2093586546
88	0.8241042345	0.2092593472
89	0.8241042345	0.2089074951
90	0.8253796095	0.2085643638
91	0.8253796095	0.2085512004
92	0.8273615635	0.2084981832
93	0.827173913	0.2082671282
94	0.8275488069	0.2074029987
95	0.8279220779	0.2072320487
96	0.8277356446	0.2066886931
97	0.8286334056	0.2064223838
98	0.8268398268	0.2062867454
99	0.8286334056	0.2058034523
100	0.8286334056	0.2057422148
101	0.8286334056	0.2056988651
102	0.8297180043	0.205638507
103	0.830802603	0.205437039
104	0.8326086957	0.2047547396
105	0.8326086957	0.2047273076
106	0.8327904452	0.2045427129
107	0.8322510823	0.2045035754
108	0.8322510823	0.2043317538
109	0.8327904452	0.2040552524
110	0.8329718004	0.2038360961
111	0.834422658	0.2033890355
112	0.834422658	0.2033890055
113	0.8335146899	0.2030938323
114	0.8346028292	0.2028045414
115	0.8346028292	0.202804474
116	0.8347826087	0.2025758922
117	0.8347826087	0.2025726087
118	0.8367791077	0.2023273369
119	0.8367791077	0.2023200852
120	0.837867247	0.2021928379
121	0.8351409978	0.2018752493
122	0.8351409978	0.2015651151
123	0.8364030336	0.2009985804
124	0.8374864572	0.2007616471
125	0.8393051031	0.2006161507
126	0.8402173913	0.2002135829
127	0.8393051031	0.1998142244
128	0.8403908795	0.1995582335
129	0.8422198041	0.1992314787
130	0.8431372549	0.1991438886
131	0.8431372549	0.1990084329
132	0.8442265795	0.1985069455
133	0.8438177874	0.1981696359
134	0.8447339848	0.1980420913
135	0.8447339848	0.1980420783
136	0.8430735931	0.1976299929
137	0.8430735931	0.1975761849
138	0.8430735931	0.1975682459
139	0.8430735931	0.1974962332
140	0.8430735931	0.1974626514
141	0.8439869989	0.1970271817
142	0.8443243243	0.1966766355
143	0.8444924406	0.1966692478
144	0.8461538462	0.1963921347
145	0.8444924406	0.1961880282
146	0.8444924406	0.1961879913
147	0.8455723542	0.1959236673
148	0.8454054054	0.1959051025
149	0.8466522678	0.1956409752
150	0.8468176915	0.1950334731
151	0.8468176915	0.19478475
152	0.8495670996	0.1945223486
153	0.8495670996	0.1945214534
154	0.8486486486	0.1944736594
