iter	Passed	Remaining
0	90	45291
1	129	32135
2	169	28031
3	201	25036
4	228	22584
5	241	19924
6	299	21062
7	323	19917
8	344	18783
9	384	18859
10	407	18118
11	432	17575
12	450	16881
13	467	16241
14	494	15997
15	529	16008
16	545	15499
17	556	14904
18	574	14545
19	593	14234
20	613	13986
21	628	13659
22	650	13483
23	657	13049
24	679	12917
25	698	12734
26	718	12580
27	735	12406
28	754	12246
29	771	12082
30	789	11940
31	807	11811
32	839	11873
33	871	11949
34	889	11817
35	906	11689
36	924	11567
37	940	11432
38	953	11269
39	971	11177
40	989	11073
41	1006	10976
42	1023	10877
43	1064	11030
44	1095	11080
45	1115	11008
46	1136	10952
47	1153	10863
48	1174	10808
49	1187	10689
50	1207	10634
51	1227	10571
52	1247	10518
53	1267	10465
54	1285	10401
55	1306	10359
56	1316	10233
57	1340	10218
58	1360	10171
59	1380	10120
60	1399	10073
61	1416	10010
62	1435	9960
63	1456	9922
64	1479	9901
65	1501	9875
66	1522	9840
67	1543	9805
68	1566	9788
69	1590	9771
70	1613	9751
71	1633	9712
72	1656	9689
73	1674	9641
74	1692	9590
75	1718	9586
76	1742	9572
77	1751	9478
78	1776	9464
79	1799	9447
80	1819	9411
81	1840	9379
82	1859	9342
83	1881	9319
84	1902	9286
85	1918	9235
86	1931	9167
87	1951	9137
88	1971	9102
89	1989	9062
90	2007	9021
91	2017	8948
92	2029	8882
93	2047	8841
94	2068	8818
95	2091	8801
96	2111	8772
97	2129	8734
98	2146	8695
99	2163	8652
100	2183	8624
101	2200	8586
102	2219	8556
103	2240	8530
104	2259	8498
105	2280	8476
106	2301	8451
107	2322	8431
108	2341	8397
109	2357	8357
110	2375	8326
111	2403	8326
112	2413	8266
113	2433	8239
114	2457	8227
115	2467	8169
116	2497	8174
117	2523	8169
118	2557	8189
119	2580	8171
120	2596	8131
121	2626	8137
122	2649	8119
123	2674	8108
124	2698	8095
125	2736	8123
126	2758	8100
127	2777	8072
128	2803	8062
129	2824	8038
130	2841	8002
131	2858	7969
132	2876	7938
133	2897	7914
134	2912	7873
135	2918	7812
136	2935	7777
137	2951	7741
138	2962	7694
139	2978	7658
140	2992	7620
141	3017	7607
142	3033	7572
143	3049	7539
144	3067	7510
145	3088	7488
146	3099	7441
147	3119	7419
148	3132	7379
149	3153	7357
150	3173	7334
151	3198	7321
152	3216	7294
153	3228	7253
154	3247	7228
