Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,25.0,686.5,0.016,0.032,0.0,0.0,Dec,2.0,2.0,7.0,1.0,Returning_Visitor,True,False
2.0,179.0,1.0,0.0,2.0,163.0,0.0,0.04,0.0,0.0,May,1.0,1.0,3.0,2.0,New_Visitor,False,False
0.0,0.0,0.0,0.0,12.0,168.0,0.041666667,0.063888889,0.0,0.0,Nov,2.0,2.0,1.0,1.0,Returning_Visitor,False,False
8.0,144.5,4.0,181.7222222,52.0,2826.790048,0.007258065,0.030060764,0.0,0.0,May,3.0,2.0,3.0,13.0,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,11.0,210.0,0.009090909,0.024242424,0.0,0.0,May,2.0,2.0,8.0,2.0,Returning_Visitor,False,False
4.0,45.33333333,0.0,0.0,53.0,1440.298918,0.012727273,0.021974359,1.660118182,0.0,Mar,3.0,2.0,7.0,3.0,Returning_Visitor,True,True
1.0,68.0,0.0,0.0,55.0,4277.0,0.003636364,0.021212121,7.291757576,0.0,May,1.0,1.0,1.0,1.0,Returning_Visitor,True,False
11.0,286.9333333,0.0,0.0,119.0,7609.82065,0.0032,0.015231111,0.0,0.0,Dec,2.0,2.0,3.0,1.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,13.0,328.9166667,0.0,0.014285714,59.79014286,0.0,Mar,3.0,2.0,1.0,3.0,Returning_Visitor,False,True
2.0,127.0,0.0,0.0,19.0,1431.666667,0.0,0.01,0.0,0.2,May,2.0,2.0,4.0,2.0,Returning_Visitor,False,False
2.0,101.5,0.0,0.0,16.0,692.6666667,0.0,0.0125,146.23875,0.0,May,2.0,2.0,5.0,2.0,New_Visitor,False,True
4.0,103.0,0.0,0.0,31.0,831.6666667,0.03030303,0.042121212,0.0,0.0,May,3.0,2.0,6.0,13.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,9.0,315.6,0.022222222,0.037037037,0.0,0.0,May,2.0,2.0,2.0,7.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,7.0,95.0,0.014285714,0.061904762,0.0,0.0,Mar,2.0,6.0,1.0,1.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,22.0,0.0,0.1,0.0,0.0,Nov,3.0,2.0,3.0,3.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Mar,2.0,2.0,1.0,1.0,Returning_Visitor,False,False
2.0,21.0,6.0,182.7916667,82.0,1836.214249,0.004545455,0.025181135,0.0,0.0,Dec,3.0,2.0,3.0,2.0,Returning_Visitor,False,False
0.0,0.0,1.0,59.5,44.0,2284.488095,0.0,0.003359173,0.0,0.0,Dec,3.0,3.0,2.0,8.0,Returning_Visitor,False,False
3.0,43.0,0.0,0.0,10.0,427.1666667,0.0,0.015384615,0.0,0.0,Mar,3.0,2.0,9.0,3.0,Returning_Visitor,False,False
1.0,132.0,0.0,0.0,8.0,209.25,0.0,0.022222222,0.0,0.0,May,2.0,2.0,7.0,6.0,Returning_Visitor,False,False
3.0,76.0,0.0,0.0,24.0,1038.845238,0.0,0.008333333,0.0,0.0,Mar,2.0,2.0,4.0,3.0,New_Visitor,False,False
2.0,28.0,0.0,0.0,42.0,1329.666667,0.0,0.002325581,80.04344186,0.0,May,2.0,2.0,1.0,4.0,Returning_Visitor,True,True
7.0,98.0,3.0,61.0,83.0,2355.682738,0.002873563,0.022487296,0.0,0.0,Dec,1.0,1.0,1.0,2.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,20.0,366.5,0.0,0.01,0.0,0.0,Nov,2.0,2.0,1.0,2.0,Returning_Visitor,False,False
1.0,31.25,0.0,0.0,31.0,1470.208333,0.0,0.012222222,0.0,0.0,Nov,3.0,2.0,3.0,8.0,New_Visitor,False,True
0.0,0.0,0.0,0.0,2.0,31.2,0.0,0.1,0.0,0.0,Aug,3.0,2.0,1.0,3.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,Nov,1.0,1.0,1.0,3.0,Returning_Visitor,True,False
6.0,1013.886667,1.0,378.8,8.0,230.28,0.0,0.02254902,13.86451214,0.0,Sep,2.0,2.0,3.0,2.0,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,6.0,66.5,0.011111111,0.111111111,0.0,0.4,May,2.0,2.0,5.0,4.0,Returning_Visitor,False,False
18.0,1012.5,6.0,114.3333333,106.0,3163.096825,0.011664747,0.021393867,1.307682317,0.0,Nov,3.0,2.0,6.0,13.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,48.0,0.0,0.066666667,0.0,0.0,Mar,4.0,1.0,1.0,1.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,22.0,815.8333333,0.0,0.01,0.0,0.0,May,2.0,4.0,1.0,1.0,Returning_Visitor,False,False
1.0,508.8,0.0,0.0,7.0,379.8,0.0,0.05,0.0,0.0,Jul,1.0,1.0,1.0,1.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,48.0,2235.0,0.004347826,0.025362319,9.127391304,0.0,May,2.0,2.0,7.0,2.0,Returning_Visitor,True,False
5.0,211.25,0.0,0.0,22.0,1344.75,0.034782609,0.048447205,0.0,0.0,Nov,3.0,2.0,2.0,8.0,Returning_Visitor,False,False
4.0,43.46666667,0.0,0.0,4.0,27.26666667,0.0,0.028571429,0.0,0.0,Sep,1.0,1.0,1.0,5.0,New_Visitor,False,True
1.0,10.0,0.0,0.0,30.0,602.5,0.009677419,0.014910394,0.0,0.0,Dec,2.0,2.0,2.0,10.0,Returning_Visitor,False,False
0.0,0.0,1.0,113.0,27.0,3178.583333,0.025,0.04047619,0.0,0.0,May,2.0,2.0,1.0,3.0,Returning_Visitor,False,False
3.0,28.5,0.0,0.0,8.0,181.6666667,0.022222222,0.044444444,0.0,0.0,Dec,1.0,1.0,3.0,10.0,Returning_Visitor,False,False
9.0,367.0,0.0,0.0,85.0,2387.990657,0.0,0.016080586,3.926014129,0.0,May,3.0,2.0,6.0,4.0,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.2,0.0,0.0,Nov,2.0,2.0,1.0,1.0,Returning_Visitor,False,False
8.0,355.0,0.0,0.0,50.0,1039.599344,0.000925926,0.010164456,0.0,0.0,Nov,1.0,2.0,3.0,10.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,20.0,2280.833333,0.01,0.038333333,0.0,0.0,May,1.0,1.0,1.0,4.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,19.2,0.1,0.15,0.0,0.0,Sep,3.0,2.0,3.0,1.0,Returning_Visitor,False,False
0.0,0.0,2.0,15.2,19.0,1227.153333,0.00952381,0.04399093,0.0,0.0,Sep,1.0,1.0,1.0,2.0,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,31.0,835.2380952,0.0,0.009811828,0.0,0.0,Dec,2.0,2.0,1.0,10.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,210.0,0.16,0.173333333,0.0,0.4,May,1.0,1.0,1.0,3.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,9.0,668.0,0.0,0.022222222,0.0,0.0,Nov,2.0,4.0,9.0,6.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,54.0,941.4666667,0.0,0.003773585,26.67428219,0.0,Aug,4.0,5.0,1.0,1.0,Returning_Visitor,False,True
6.0,104.4,1.0,0.0,32.0,879.75,0.0,0.014285714,20.503488,0.0,Nov,2.0,4.0,1.0,1.0,Returning_Visitor,False,True
2.0,41.2,0.0,0.0,36.0,595.8,0.0,0.005405405,0.0,0.0,Nov,4.0,2.0,2.0,4.0,Returning_Visitor,False,False
4.0,31.6,0.0,0.0,9.0,1760.7,0.0,0.003333333,0.0,0.0,Nov,4.0,2.0,9.0,2.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Jul,1.0,1.0,1.0,2.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,42.0,1892.005556,0.02195122,0.040859466,0.0,0.0,Nov,1.0,1.0,1.0,13.0,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,May,2.0,4.0,1.0,3.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,9.0,740.1666667,0.0,0.014285714,0.0,0.0,Nov,3.0,2.0,1.0,1.0,Returning_Visitor,False,False
4.0,114.3333333,0.0,0.0,55.0,1247.357143,0.001886792,0.010691824,0.0,0.0,May,3.0,2.0,3.0,4.0,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,16.0,650.8333333,0.0,0.019047619,13.99,0.0,May,2.0,2.0,7.0,2.0,Returning_Visitor,False,True
3.0,42.0,0.0,0.0,24.0,1381.733333,0.031481481,0.018777882,0.0,0.0,May,3.0,2.0,4.0,3.0,Returning_Visitor,False,False
,,,,,,,,,,,,,,,,,False
4.0,64.46428571,0.0,0.0,29.0,1414.589286,0.0,0.0125,21.05431578,0.0,Dec,2.0,2.0,1.0,2.0,Returning_Visitor,False,True
3.0,52.5,0.0,0.0,139.0,3674.737578,0.002142857,0.011897444,17.50624004,0.0,Nov,2.0,2.0,2.0,10.0,Returning_Visitor,False,True
1.0,255.0,0.0,0.0,35.0,1178.0,0.035294118,0.064705882,0.0,1.0,May,3.0,2.0,3.0,4.0,Returning_Visitor,True,False
13.0,266.047619,9.0,985.4833333,179.0,11492.20838,0.020689931,0.028728531,0.0,0.0,June,1.0,1.0,1.0,3.0,Returning_Visitor,False,False
3.0,159.0,2.0,55.5,23.0,1100.125,0.0,0.011111111,0.0,0.4,May,3.0,2.0,4.0,14.0,Returning_Visitor,False,False
1.0,8.0,0.0,0.0,34.0,709.3333333,0.0,0.014761905,0.0,0.0,Nov,2.0,2.0,1.0,1.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,18.0,346.5666667,0.02962963,0.062962963,0.0,0.0,Nov,2.0,2.0,3.0,2.0,Returning_Visitor,False,False
3.0,45.5,0.0,0.0,43.0,1738.25,0.006349206,0.03537415,0.0,0.0,May,2.0,5.0,7.0,3.0,Returning_Visitor,False,False
1.0,10.5,3.0,264.75,195.0,10044.75756,0.005025126,0.023180221,0.0,0.0,Dec,2.0,2.0,1.0,2.0,Returning_Visitor,False,False
7.0,644.5,2.0,166.5,31.0,1629.641667,0.0,0.026063126,0.0,0.0,Dec,2.0,2.0,4.0,2.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,9.0,190.3333333,0.0,0.033333333,0.0,0.0,Dec,1.0,1.0,3.0,2.0,New_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,71.5,0.0,0.05,0.0,0.0,Dec,3.0,2.0,1.0,10.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,9.0,427.0,0.0,0.025,13.1168283,0.0,Dec,1.0,1.0,1.0,2.0,New_Visitor,True,True
1.0,11.0,1.0,10.0,74.0,3487.12471,0.002739726,0.009519461,0.0,0.0,Nov,3.0,2.0,4.0,3.0,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,5.0,93.5,0.0,0.013333333,0.0,0.6,May,2.0,2.0,9.0,13.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,50.0,1241.75,0.0,0.008163265,47.83758971,0.0,Nov,2.0,10.0,1.0,2.0,New_Visitor,False,True
0.0,0.0,0.0,0.0,2.0,11.0,0.088888889,0.188888889,0.0,0.0,Dec,2.0,2.0,2.0,2.0,Returning_Visitor,True,False
1.0,2.0,1.0,6.0,4.0,12.5,0.066666667,0.1,0.0,0.8,May,2.0,2.0,1.0,18.0,Returning_Visitor,False,False
4.0,191.1666667,0.0,0.0,108.0,4656.331746,0.006456456,0.018326694,0.0,0.0,Nov,3.0,2.0,1.0,10.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,17.0,0.1,0.166666667,0.0,0.6,May,1.0,1.0,3.0,6.0,Returning_Visitor,False,False
1.0,46.5,0.0,0.0,14.0,398.9791667,0.0,0.014285714,116.3378652,0.0,Dec,8.0,13.0,9.0,20.0,Other,False,True
3.0,97.0,0.0,0.0,15.0,482.0,0.0125,0.025,0.0,0.0,Mar,2.0,2.0,6.0,1.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,58.0,0.0,0.1,0.0,0.0,Nov,2.0,2.0,2.0,6.0,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,7.0,578.2,0.0,0.033333333,58.488,0.0,May,2.0,5.0,3.0,6.0,Returning_Visitor,True,True
1.0,5.5,2.0,28.0,20.0,929.3333333,0.0,0.015333333,0.0,0.0,Dec,2.0,2.0,6.0,2.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,May,2.0,2.0,1.0,13.0,Returning_Visitor,False,False
0.0,0.0,1.0,0.0,9.0,215.0,0.044444444,0.074074074,0.0,0.8,Feb,4.0,1.0,1.0,3.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,19.0,421.6,0.068421053,0.077192982,6.624947368,0.6,May,3.0,2.0,2.0,13.0,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,8.0,140.25,0.121428571,0.14375,0.0,0.0,Dec,3.0,2.0,2.0,13.0,Returning_Visitor,False,False
2.0,386.0,1.0,25.0,31.0,2725.0,0.010909091,0.017482517,0.0,0.0,May,2.0,6.0,2.0,5.0,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,16.0,230.5666667,0.0,0.023958333,0.0,0.0,Aug,2.0,2.0,3.0,4.0,Returning_Visitor,False,False
2.0,190.0,1.0,0.0,37.0,758.4428571,0.0,0.010526316,0.0,0.0,Mar,1.0,1.0,6.0,1.0,Returning_Visitor,True,False
1.0,58.4,0.0,0.0,18.0,1045.3,0.0,0.026315789,0.0,0.0,Sep,2.0,2.0,2.0,1.0,Returning_Visitor,False,False
4.0,68.75,0.0,0.0,137.0,3770.916071,0.003165468,0.014745252,0.0,0.0,Dec,2.0,2.0,3.0,1.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,7.0,284.5,0.0,0.028571429,128.4686939,0.0,Dec,2.0,2.0,4.0,10.0,Returning_Visitor,False,True
5.0,488.462963,0.0,0.0,56.0,3327.537566,0.006578947,0.022060248,0.0,0.0,Dec,2.0,2.0,3.0,1.0,Returning_Visitor,False,False
9.0,257.0933333,2.0,39.4,98.0,3364.64045,0.029570957,0.034691241,35.03953094,0.0,Sep,3.0,2.0,8.0,13.0,Returning_Visitor,False,False
2.0,95.0,3.0,48.0,9.0,259.5,0.0,0.015384615,0.0,0.0,May,1.0,1.0,1.0,2.0,Returning_Visitor,False,False
2.0,62.5,0.0,0.0,17.0,775.3333333,0.0,0.045098039,0.0,0.0,Nov,2.0,2.0,3.0,1.0,Returning_Visitor,False,True
13.0,234.5666667,0.0,0.0,80.0,1807.227778,0.016091954,0.0348659,4.192980384,0.0,Jul,4.0,2.0,3.0,13.0,Returning_Visitor,False,False
2.0,114.0,0.0,0.0,24.0,368.3333333,0.092592593,0.114285714,0.0,0.4,May,3.0,2.0,4.0,3.0,Returning_Visitor,False,False
7.0,48.5,0.0,0.0,9.0,116.6666667,0.0,0.006666667,0.0,0.4,May,2.0,2.0,1.0,1.0,Returning_Visitor,False,False
8.0,487.0,0.0,0.0,28.0,839.5178571,0.0,0.003125,0.0,0.0,Dec,1.0,1.0,3.0,2.0,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,9.0,183.3333333,0.0,0.022222222,0.0,0.0,Dec,2.0,10.0,4.0,1.0,Returning_Visitor,False,False
1.0,0.0,3.0,62.4,23.0,708.1666667,0.0,0.007407407,0.0,0.0,Sep,2.0,2.0,6.0,4.0,Returning_Visitor,False,False
4.0,112.875,0.0,0.0,6.0,134.675,0.0,0.037037037,0.0,0.0,Nov,1.0,2.0,1.0,2.0,Returning_Visitor,False,False
1.0,51.4,0.0,0.0,25.0,1417.022222,0.022666667,0.055466667,0.0,0.0,Jul,3.0,2.0,1.0,2.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,7.0,232.6666667,0.0,0.014285714,0.0,0.0,Mar,2.0,2.0,6.0,2.0,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,156.0,0.0,0.016666667,0.0,0.2,May,2.0,2.0,5.0,1.0,Returning_Visitor,False,False
7.0,350.6,9.0,406.9166667,68.0,2435.74375,0.002564103,0.01555896,0.0,0.0,Dec,1.0,1.0,1.0,2.0,Returning_Visitor,False,False
8.0,274.5,0.0,0.0,129.0,5883.040509,0.003076923,0.008735669,0.0,0.0,May,1.0,1.0,6.0,2.0,Returning_Visitor,False,False
2.0,39.5,1.0,161.0,34.0,1406.209524,0.010810811,0.021212121,23.60518919,0.2,May,2.0,2.0,8.0,4.0,Returning_Visitor,False,True
12.0,184.4173601,1.0,13.0,159.0,6137.14491,0.011276738,0.031489963,18.23386055,0.0,June,2.0,4.0,3.0,2.0,Returning_Visitor,False,False
1.0,92.0,0.0,0.0,117.0,13158.66667,0.006896552,0.041810345,0.0,0.0,May,2.0,6.0,4.0,4.0,Returning_Visitor,True,False
1.0,4.0,0.0,0.0,24.0,957.9,0.025,0.032638889,22.74458333,0.4,May,3.0,2.0,6.0,13.0,Returning_Visitor,False,True
5.0,118.7,1.0,26.0,41.0,1019.293939,0.049481481,0.05837037,0.0,1.0,May,3.0,2.0,7.0,3.0,Returning_Visitor,True,False
1.0,6.0,1.0,0.0,45.0,1582.75,0.043478261,0.050821256,54.17976426,0.4,Feb,3.0,2.0,1.0,1.0,Returning_Visitor,False,False
